baidu 百度
现实 理想
现身说法 言传身教
险恶 险峻
显著 明显
显亲扬名 光宗耀祖
显明 鲜明
显而易见 不言而喻
嫌弃 厌弃
闲暇 空闲
闲事 正事
闲聊 闲谈
鲜艳 艳丽
先人 祖先
先发制人 先下手为强
吓唬 恐吓
下车伊始 新来乍到
下笔成章 出口成章
狭窄 狭隘
狭路相逢 冤家路窄
狭隘 狭窄
细微 纤细
喜闻乐见 脍炙人口
喜事 丧事
喜好 爱好
喜报 捷报
喜爱 喜欢
洗涤 洗濯
习用 惯用
习俗 风俗
习惯 习气
稀奇 稀罕
惜墨如金 字斟句酌
息息相关 毫不相关
希图 企图
希求 企求
吸取 汲取
误解 曲解
误会 误解
物归原主 完璧归赵
务实 务虚
舞弊 作弊
侮辱 凌辱
五体投地 心悦诚服
五湖四海 四面八方
五彩缤纷 五光十色
芜杂 杂乱
毋庸 无须
无中生有 惹是生非
无心 无意
无隙可乘 有机可乘
无所畏惧 临危不惧
无所适从 莫衷一是
无所不至 无微不至
无所不知 一无所知
无所不为 无恶不作
无所不通 一窍不通
无所不包 包罗万象
无穷 无量
无牵无挂 无忧无虑
无名英雄 无名小卒
无可奈何 迫不得已
无可非议 无可厚非
无可比拟 无与伦比
无拘无束 自由自在
无价之宝 价值连城
无济于事 杯水车薪
无际 无边
诬陷 诬害
诬蔑 污蔑
屋宇 房屋
乌七八糟 乱七八糟
乌黑 漆黑
我行我素 言听计从
问寒问暖 问长问短
稳固 稳定
稳当 稳妥
闻名 出名
纹丝不动 文风不动
文质彬彬 温文尔雅
文化 文明
温煦 和煦
温习 复习
温顺 温柔
温柔 温顺
温暖 暖和
温和 平和
慰问 慰劳
畏缩不前 勇往直前
味道 滋味
位置 地位
未来 将来
未卜先知 料事如神
娓娓而谈 侃侃而谈
娓娓动听 绘声绘色
委曲求全 逆来顺受
伪装 假装
伟人 巨人
惟妙惟肖 活灵活现
唯命是从 百依百顺
唯利是图 利欲熏心
违心 愿意
违反 违背
违背 违犯
围剿 围歼
为虎作伥 助纣为虐
巍峨 高耸
微妙 奇妙
微风 和风
微不足道 微乎其微
威望 声威
威风凛凛 气势汹汹
威逼 威胁
危险 风险
危急 危殆
望眼欲穿 望穿秋水
望梅止渴 画饼充饥
望而生畏 望而却步
望而却步 望而生畏
忘性 记性
忘记 遗忘
妄自菲薄 妄自尊大
枉然 徒然
往返 往复
网罗 收罗
王道 霸道
万紫千红 姹紫嫣红
万众一心 众志成城
万死不辞 在所不辞
万古长存 万古长青
惋惜 可惜
婉转 委婉
挽救 援救
玩耍 游玩
完整 完好
完美无缺 白璧无瑕
完结 结束
完工 竣工
完璧归赵 物归原主
完毕 终了
完备 齐备
纨绔子弟 花花公子
蜿蜒 弯曲
外表 表面
歪斜 倾斜
挖空心思 处心积虑
挖掘 发掘
唾手可得 探囊取物
唾弃 鄙弃
脱颖而出 锋芒毕露
脱险 遇险
脱胎换骨 洗心革面
脱漏 遗漏
脱口而出 信口开河
拖拉 迁延
托故 借故
托付 拜托
托辞 遁辞
吞没 淹没
退职 在职
退役 服役
退缩 畏缩
退让 让步
退却 退避
退化 退步
颓丧 颓废
颓废 颓丧
推延 推迟
推心置腹 开诚布公
推卸 推脱
推却 推辞
推敲 琢磨
推荐 引荐
推广 推行
推动 推进
推戴 拥戴
推迟 推延
推陈出新 新陈代谢
推测 揣测
推波助澜 火上浇油
团圆 团聚
团体 集团
土崩瓦解 分崩离析
屠戮 杀戮
途程 路程
徒有虚名 名不副实
徒劳 白费
突围 包围
突然 忽然
突破 打破
突飞猛进 日新月异
透露 泄漏
投降 投诚
投合 迎合
投标 招标
投笔从戎 解甲归田
投奔 投靠
头重脚轻 虎头蛇尾
头绪 眉目
头昏脑胀 头昏眼花
头等 头号
偷梁换柱 移花接木
偷盗 盗窃
偷安 苟安
痛快 爽快
痛苦 苦楚
痛改前非 改过自新
统一 一致
统统 通通
铜墙铁壁 固若金汤
同意 赞同
同学 同窗
同流合污 随波逐流
同归于尽 玉石俱焚
同床异梦 貌合神离
同仇敌忾 同仇敌慨
通知 告诉
通信 通讯
通晓 知晓
通宵 彻夜
通通 统统
通俗 浅显
通明 透明
通过 经过
挺身而出 自告奋勇
停止 中止
停战 休战
听天由命 听其自然
听凭 任凭
听从 遵从
贴补 补助
挑战 应战
挑衅 寻衅
挑拨离间 搬弄是非
挑拨 挑唆
甜蜜 甘美
恬适 安适
恬淡 淡泊
添枝加叶 添油加醋
添油加醋 添枝加叶
天摇地动 天旋地转
天涯海角 天南地北
天下大乱 天灾人祸
天然 自然
天穹 苍穹
天南地北 天涯海角
天经地义 理所当然
天昏地暗 昏天黑地
天花乱坠 缄口不语
天黑 天亮
天翻地覆 翻天覆地
天才 天赋
替换 交换
体现 表现
体贴 体恤
体面 面子
体谅 谅解
体力 膂力
体会 领会
体格 体魄
题目 标题
提问 发问
提前 提早
提价 降价
提高 进步
提倡 倡导
提拔 选拔
啼笑皆非 哭笑不得
腾飞 起飞
疼爱 心疼
特务 间谍
特色 特征
特地 特别
特长 专长
讨厌 厌恶
讨价 还价
讨伐 征伐
淘气 调皮
陶冶 熏陶
逃之夭夭 溜之大吉
逃亡 流亡
倘若 假使
搪塞 敷衍
探讨 讨论
探索 探究
探亲 省亲
探囊取物 十拿九稳
探究 探求
叹为观止 蔚为大观
叹气 叹息
袒露 裸露
袒护 包庇
坦率 坦白
谈笑自若 谈笑风生
谈判 会谈
谈论 议论
谈话 说话
谈虎色变 闻风丧胆
昙花一现 稍纵即逝
贪赃枉法 贪污腐化
贪婪 贪心
贪得无厌 得寸进尺
泰然 恬然
他人 别人
索取 讨取
所有 一切
所向无敌 所向披靡
所向披靡 所向无敌
缩小 减少
缩手缩脚 缩头缩脑
缩短 延长
唆使 教唆
损人利己 自私自利
随心所欲 为所欲为
随同 伴随
随声附和 人云亦云
随便 随意
宿愿 心愿
素日 平日
素淡 素净
素常 平素
肃穆 庄严
苏醒 清醒
搜索枯肠 绞尽脑汁
搜罗 网罗
搜查 搜寻
耸立 屹立
怂恿 鼓动
松懈 涣散
松散 松懈
松软 坚实
肆虐 暴虐
伺机 乘机
伺候 服侍
四周 周围
四平八稳 轻举妄动
四面楚歌 左右逢源
四面八方 五湖四海
四分五裂 支离破碎
死于非命 寿终正寝
死气沉沉 万马齐喑
死皮赖脸 厚颜无耻
死路 绝路
死里逃生 九死一生
斯文 文雅
思维 思想
思念 怀念
思路 思绪
思考 考虑
司空见惯 习以为常
说明 阐明
说服 压服
顺叙 倒叙
顺水推舟 因势利导
顺手 随手
顺从 依从
顺次 依次
顺便 特地
水灾 水患
水乳交融 不分彼此
水平 程度
水落石出 真相大白
水到渠成 瓜熟蒂落
爽快 直爽
双管齐下 左右开弓
衰败 衰落
树碑立传 歌功颂德
束之高阁 置之不理
束手无策 一筹莫展
束手就擒 束手待毙
束手待毙 负隅顽抗
束缚 约束
熟悉 熟习
熟视无睹 视而不见
熟能生巧 游刃有余
熟练 纯熟
输送 保送
舒展 伸展
舒服 舒适
舒畅 酣畅
疏通 疏浚
疏忽 忽略
疏导 引导
殊途同归 异曲同工
瘦弱 衰弱
兽性 人性
受骗 上当
寿终正寝 与世长辞
首屈一指 数一数二
首领 领袖
首恶 元凶
守株待兔 刻舟求剑
守口如瓶 讳莫如深
手足无措 不知所措
手腕 伎俩
手段 手腕
手不释卷 孜孜不倦
收拾 拾掇
收买 收购
收罗 搜罗
收留 收容
收集 搜集
誓言 誓词
誓不两立 同流合污
嗜好 癖好
逝世 去世
适宜 适合
适合 合适
试验 实验
视线 视野
视死如归 杀身成仁
势如破竹 势不可当
势力 权力
事与愿违 适得其反
事先 事前
事件 事情
事过境迁 情随事迁
事不宜迟 当务之急
事变 事故
事必躬亲 身体力行
事倍功半 事半功倍
示意 表示
世间 人间
士兵 兵士
使用 运用
食粮 粮食
拾掇 收拾
实质 本质
实在 真实
实用 适用
实现 完成
实施 施行
实践 理论
实际 实践
识别 辨认
时事 时势
时髦 时兴
时机 机遇
时候 时分
时光 光阴
石沉大海 杳无音信
十拿九稳 万无一失
十分 非常
十恶不赦 罪大恶极
湿润 潮湿
湿热 干冷
施展 发挥
施行 实施
失职 渎职
失陷 沦陷
失望 绝望
失落 丢失
失策 失算
盛怒 震怒
盛大 浩大
省亲 探亲
省得 免得
省吃俭用 节衣缩食
胜利 成功
牲畜 家畜
声援 支援
声誉 名誉
声音 声响
声势浩大 大张旗鼓
声色俱厉 正颜厉色
声名狼藉 身败名裂
声调 腔调
声称 宣称
生硬 僵硬
生养 生育
生吞活剥 生搬硬套
生死与共 背信弃义
生疏 陌生
生事 惹事
生路 活路
生灵涂炭 水深火热
生机 活力
生存 生活
生产 消费
生财有道 投机倒把
升级 晋级
渗透 浸透
哂纳 笑纳
审讯 审问
审慎 谨慎
审判 审讯
神往 憧憬
神思 心机
神气 神情
神机妙算 锦囊妙计
神魂颠倒 颠三倒四
神出鬼没 按兵不动
深信 坚信
深思 沉思
深入人心 不得人心
深入 深化
深刻 深入
深厚 深沉
深仇大恨 血海深仇
身体力行 事必躬亲
身材 身体
身败名裂 声名狼藉
申述 申诉
申请 请求
申明 声明
申斥 训斥
涉及 触及
设想 想象
舍生忘死 奋不顾身
舍身 捐躯
舍短取长 取长补短
舍本逐末 舍近求远
奢求 苛求
奢华 豪华
少见多怪 大惊小怪
稍逊一筹 略胜一筹
稍微 略微
上演 演出
上不着天，下不着地 前不着村，后不着店 
赏心悦目 心旷神怡
赏赐 恩赐
商讨 商榷
商量 磋商
伤害 损伤
伤风败俗 移风易俗
赡养 奉养
擅自 私自
缮写 抄写
善于 擅长
善意 好心
善始善终 有始有终
善良 仁慈
闪烁其辞 直言不讳
闪动 闪烁
煽动 怂恿
山穷水尽 日暮途穷
山盟海誓 信誓旦旦
山高水长 天长地久
筛选 挑选
霎时 瞬间
刹时 瞬时
沙场 疆场
杀身成仁 视死如归
杀人不眨眼 杀人不见血
杀戮 屠戮
森严 威严
色厉内荏 外强中干
色调 色彩
色彩 颜色
扫兴 败兴
扫视 审视
搔首弄姿 卖弄风骚
丧心病狂 丧尽天良
丧气 沮丧
散失 流失
散伙 搭伙
散步 漫步
散布 分布
三思而行 深思熟虑
三生有幸 福星高照
洒脱 潇洒
撒手 放手
撒谎 扯谎
润饰 修饰
润色 润饰
润滑 光滑
软弱 脆弱
软禁 幽禁
入选 当选
乳臭未干 年幼无知
如坐针毡 坐立不安
如醉如痴 自我陶醉
如鱼得水 瓮中之鳖
如影随行 形影不离
如兄如弟 情同手足
如日方升 江河日下
如狼似虎 凶神恶煞
如获至宝 大喜过望
如果 假如
如法炮制 依样画葫芦
蹂躏 践踏
柔弱 懦弱
融化 消融
融合 交融
容许 允许
容纳 包容
荣耀 光彩
日新月异 一日千里
仍然 依然
仍旧 依旧
任意 恣意
任务 义务
任人唯贤 任人唯亲
任人唯亲 任人唯贤
任其自然 听之任之
任凭 听凭
任劳任怨 怨天尤人
认真 仔细
认帐 赖帐
认为 以为
认识 看法
忍无可忍 忍辱负重
忍辱负重 委曲求全
忍气吞声 忍无可忍
忍耐 忍受
人云亦云 随声附和
人心所向 众矢之的
人心涣散 一盘散沙
人寿年丰 繁荣昌盛
人山人海 摩肩接踵
人情世故 人之常情
人强马壮 兵强马壮
人命关天 草菅人命
人尽其才 量才录用
人间 人世
人祸 天灾
人喊马嘶 人困马乏
人不知;鬼不觉 不知不觉
热气腾腾 热火朝天
热闹 繁华
热火朝天 如火如荼
热诚 热忱
热爱 酷爱
惹是生非 无事生非
惹事 生事
惹火烧身 招灾惹祸
让步 退让
染指 介入
燃烧 熄灭
然而 但是
群策群力 齐心协力
确实 的确
缺席 出席
缺少 短少
缺勤 出勤
缺点 缺陷
劝阻 劝止
劝解 劝慰
劝告 劝说
蜷缩 伸直
痊愈 康复
权威 威望
权势 势力
权且 姑且
权利 权益
权力 权利
全心全意 一心一意
全面 片面
全力以赴 竭尽全力
全集 选集
全副 全部
趣味 兴趣
去世 逝世
取得 获得
趋势 趋向
祛病延年 延年益寿
屈服 屈从
驱逐 驱赶
驱散 遣散
驱赶 驱逐
曲折 迂回
求实 务实
求全责备 吹毛求疵
求教 请教
求告 哀告
穷凶极恶 悲天悯人
穷途末路 走投无路
穷奢极欲 骄奢淫逸
罄竹难书 擢发难数
庆祝 庆贺
请求 恳求
请教 讨教
顷刻 须臾
晴朗 阴沉
情意 心意
情谊 友情
情义 情意
情绪 心情
情天孽海 深仇大恨
情态 神态
情趣 情味
情理 道理
情况 状况
情景 情形
情急生智 急中生智
情不自禁 不由自主
蜻蜓点水 走马观花
清秀 娟秀
清新 清爽
清心寡欲 欲壑难填
清香 幽香
清晰 明晰
清扫 打扫
清贫 贫寒
清理 清算
清朗 明朗
清静 喧嚣
清规戒律 金科玉律
清官 赃官
清淡 油腻
清除 肃清
清澈 明澈
倾泻 倾注
倾诉 倾吐
倾慕 爱慕
轻重倒置 本末倒置
轻易 随便
轻微 细微
轻伤 重伤
轻举妄动 胆大妄为
轻捷 轻盈
轻浮 庄重
轻车熟路 驾轻就熟
轻薄 轻浮
青云直上 平步青云
青眼 青睐
青天白日 光天化日
青梅竹马 两小无猜
青睐 喜爱
青出于蓝 后来居上
勤俭 节俭
勤奋 勤劳
钦佩 敬佩
侵吞 并吞
侵蚀 腐蚀
侵害 损害
侵犯 进犯
亲信 心腹
亲热 亲近
亲密 密切
窃窃私语 交头接耳
窃密 保密
怯懦 勇敢
切中时弊 一针见血
切实 实在
切当 得当
切磋 商讨
窍门 诀窍
巧取豪夺 敲诈勒索
抢夺 争夺
强壮 健壮
强制 强迫
强占 侵占
强人 强者
强烈 激烈
强健 强壮
强横 蛮横
强盗 匪徒
腔调 声调
戗风 逆风
遣散 解散
浅显 粗浅
潜逃 逃窜
潜伏 埋伏
虔诚 忠诚
前兆 先兆
前因后果 来龙去脉
前途 出路
前事不忘;后事之师 前车之鉴
前任 后任
前人 后人
前期 后期
前仆后继 前赴后继
前怕狼;后怕虎 瞻前顾后
前进 行进
前辈 长辈
签订 签署
谦虚 谦逊
谦让 辞让
悭吝 吝啬
牵强附会 顺理成章
牵累 连累
牵挂 挂念
迁延 拖延
迁徙 迁移
迁就 将就
千辛万苦 含辛茹苦
千头万绪 千丝万缕
千里之行，始于足下 积少成多
千里之堤，溃于蚁穴 因小失大
千方百计 想方设法
千恩万谢 恩将仇报
洽购 采购
恰好 恰恰
恰到好处 恰如其分
器重 重视
器具 用具
泣不成声 喜笑颜开
弃暗投明 改邪归正
气宇轩昂 唯唯诺诺
气象 气候
气息奄奄 奄奄一息
气味相投 志同道合
气味 气息
气吞山河 气壮山河
气魄 魄力
气派 气度
气愤 愤慨
气氛 氛围
气冲冲 喜洋洋
绮丽 瑰丽
起源 来源
起因 原因
起死回生 妙手回春
杞人忧天 庸人自扰
启发 启示
岂但 不但
企图 希图
企慕 仰慕
乞求 哀求
旗开得胜 马到成功
旗号 旗帜
棋逢对手 众寡悬殊
骑虎难下 欲罢不能
崎岖 坎坷
祈祷 祷告
奇异 奇特
奇文瑰句 废话连篇
奇妙 巧妙
奇货可居 囤积居奇
奇怪 奇异
其余 其他
齐全 完全
齐备 完备
漆黑 乌黑
欺侮 欺负
欺世盗名 沽名钓誉
欺骗 诈骗
期望 希冀
期求 祈求
期间 时期
期待 等待
栖身 栖息
凄凉 苍凉
七嘴八舌 众说纷纭
七窍生烟 暴跳如雷
七拼八凑 东拼西凑
匍匐 爬行
铺天盖地 漫山遍野
扑朔迷离 虚无缥缈
剖析 分析
魄力 气魄
破绽 漏洞
破灭 幻灭
破落 败落
破裂 决裂
破烂 褴褛
破镜重圆 言归于好
破坏 毁坏
破釜沉舟 背水一战
破费 花费
破除 废除
迫在眉睫 火烧眉毛
迫近 逼近
迫害 虐待
迫不及待 刻不容缓
迫不得已 心甘情愿
萍水相逢 不期而遇
凭仗 仰仗
评头品足 品头论足
评估 评价
评比 评选
平庸 平凡
平易近人 咄咄逼人
平心静气 心平气和
平心而论 弄虚作假
平息 停息
平坦 平整
平素 素常
平时 平常
平日 素日
平起平坐 等量齐观
平铺直叙 平淡无奇
平均 均匀
平静 宁静
平衡 均衡
平等 对等
平淡无奇 平铺直叙
平常 往常
平步青云 一步登天
平白无故 无缘无故
平安无事 安然无恙
平安 安全
聘请 延聘
品种 种类
品学兼优 德才兼备
品行 操行
品尝 品味
贫困 贫穷
贫瘠 瘠薄
贫寒 清贫
漂亮 美丽
漂泊 流浪
剽窃 抄袭
偏重 侧重
偏向 倾向
偏见 成见
癖好 嗜好
疲乏 疲惫
毗邻 毗连
皮开肉绽 遍体鳞伤
披星戴月 夜以继日
披肝沥胆 诚心诚意
批准 同意
批示 指示
批评 批判
批改 修改
批驳 驳斥
碰壁 受阻
膨胀 收缩
蓬头垢面 不修边幅
蓬松 疏松
抨击 鞭挞
喷射 放射
赔罪 道歉
赔本 亏本
培植 扶植
培养 培育
培修 维修
咆哮 怒吼
抛头露面 出头露面
抛售 兜售
抛弃 丢弃
旁征博引 引经据典
旁若无人 目中无人
旁敲侧击 拐弯抹角
旁门左道 歪门邪道
滂沱大雨 倾盆大雨
叛逃 潜逃
叛变 反叛
判若两人 一如既往
判断 判别
判定 断定
蹒跚 踉跄
盘旋 回旋
盘问 盘诘
盘绕 环绕
盘根错节 错综复杂
盘点 清点
盘剥 剥削
攀龙附凤 趋炎附势
派头 气派
派遣 差遣
派别 派系
排山倒海 翻江倒海
排练 排演
排挤 排斥
排汇 吸收
排除 扫除
徘徊 彷徨
拍板 点头
拍案叫绝 赞不绝口
拍案而起 义愤填膺
爬行 匍匐
怄气 生气
偶然 偶尔
偶合 巧合
讴歌 歌颂
懦夫 胆小鬼
挪动 移动
怒吼 咆哮
怒发冲冠 勃然大怒
怒斥 痛斥
怒不可遏 怒形于色
浓重 浓厚
浓缩 稀释
浓密 稠密
浓厚 浓重
农村 乡村
扭转 改变
扭曲 歪曲
凝听 聆听
凝视 注视
凝固 凝结
宁为玉碎，不为瓦全 宁死不屈
宁肯 宁可
宁静 安静
蹑手蹑脚 轻手轻脚
鸟瞰 俯瞰
念旧 怀旧
年轻 年老
年迈力衰 年富力强
年纪 年岁
年初 年终
腻烦 厌烦
匿影藏形 销声匿迹
逆水行舟 不进则退
泥沙俱下 鱼龙混杂
能源 动力
能力 才能
能够 可以
能干 无能
呐喊 呼吁
闹事 肇事
恼恨 怨恨
呶呶不休 喋喋不休
囊空如洗 不名一文
喃喃自语 自言自语
难听 动听
难受 舒服
难看 好看
难堪 尴尬
难解难分 一刀两断
难过 忧伤
南征北战 身经百战
南辕北辙 背道而驰
耐心 耐烦
纳税 征税
纳入 归入
纳凉 乘凉
内外夹攻 里应外合
内幕 内情
内耗 内讧
暮气沉沉 朝气蓬勃
暮年 晚年
募捐 捐献
目中无人 旁若无人
目迷五色 眼花缭乱
目力 眼力
目击 目睹
目瞪口呆 呆若木鸡
目不转睛 聚精会神
目不邪视 左顾右盼
目不暇接 琳琅满目
目标 目的
木本 草本
谋生 营生
谋求 追求
默认 默许
墨守成规 故步自封
漠视 忽视
漠不关心 漠然置之
莫衷一是 无所适从
莫逆之交 一面之交
陌生 生疏
模式 形式
模棱两可 不置可否
模仿 模拟
摸索 探索
谬误 错误
命根子 命脉
铭刻 铭记
铭记 铭刻
鸣谢 道谢
明知故犯 知法犯法
明争暗斗 尔虞我诈
明哲保身 洁身自好
明显 分明
明天 今天
明确 明白
明枪 暗箭
明码 密码
明亮 亮堂
明火执仗 明目张胆
明澈 清澈
名正言顺 理直气壮
名誉 声誉
名气 名望
名落孙山 名列前茅
名列前茅 首屈一指
名垂青史 流芳百世
名称 称号
名不副实 名不虚传
敏捷 矫捷
民心 民意
民间 官方
民不聊生 生灵涂炭
蔑视 藐视
灭亡 沦亡
藐视 蔑视
渺小 微小
描述 描绘
描绘 描画
面熟 面善
面生 面熟
面目一新 焕然一新
面目全非 改头换面
面面俱到 八面玲珑
面貌 相貌
面黄肌瘦 身强力壮
免得 以免
绵薄 菲薄
密切 亲密
秘密 机密
糜烂 腐败
迷信 科学
迷惘 怅惘
迷途知返 悬崖勒马
弥补 补偿
梦寐以求 朝思暮想
梦幻 梦境
梦话 呓语
蒙受 遭受
猛攻 固守
门路 路径
媚骨 傲骨
美好 美妙
每每 屡屡
每况愈下 日薄西山
眉头一皱，计上心来 灵机一动
眉清目秀 贼眉鼠眼
眉来眼去 暗送秋波
眉飞色舞 喜形于色
没头没脑 呆头呆脑
没落 衰败
没精打采 垂头丧气
貌合神离 心心相印
冒名顶替 滥竽充数
矛头 锋芒
毛重 净重
毛糙 粗糙
毛病 缺点
莽撞 鲁莽
忙碌 繁忙
漫游 遨游
漫步 散步
漫不经心 掉以轻心
慢慢 渐渐
谩骂 咒骂
满载而归 一无所获
满意 称心
满腹经纶 才疏学浅
满城风雨 沸沸扬扬
满不在乎 毫不在意
瞒哄 隐瞒
脉络 头绪
卖命 卖力
买通 打通
埋葬 掩埋
埋怨 抱怨
埋没 湮没
埋伏 潜伏
马不停蹄 再接再励
麻利 敏捷
麻烦 费事
麻痹 麻木
落伍 掉队
落拓不羁 放荡不羁
落幕 闭幕
落井下石 乘人之危
落第 及第
络绎不绝 纷至沓来
裸露 暴露
论战 论争
论述 阐述
论断 结论
沦陷 陷落
沦亡 消亡
略微 稍微
掠影 剪影
掠夺 掠取
乱七八糟 乌七八糟
率领 带领
履行 实行
屡战屡败 百战百胜
屡次 多次
旅行 游览
驴唇不对马嘴 风马牛不相及
路线 道路
路径 途径
碌碌无为 无所作为
鲁莽 莽撞
炉火纯青 出神入化
露面 出面
漏洞 破绽
笼罩 覆盖
笼络人心 众叛亲离
笼络 拉拢
龙腾虎跃 生龙活虎
龙潭虎穴 刀山火海
六神无主 心惊肉跳
柳暗花明 山穷水尽
留神 注意
留鸟 候鸟
留念 纪念
留恋 眷恋
流言蜚语 风言风语
流言 谣言
流行 盛行
流亡 逃亡
流连忘返 恋恋不舍
流离失所 颠沛流离
流浪 漂泊
流放 放逐
流芳百世 名垂青史
流动 活动
流传 传播
流畅 流利
浏览 阅读
另眼相看 刮目相看
领域 范畴
领有 拥有
领袖 首领
领先 抢先
领路 带路
领会 体会
领导 指导
零碎 系统
凌辱 欺侮
凌乱 混乱
凌晨 清晨
灵巧 乖巧
灵机一动 心血来潮
灵活 灵敏
灵便 灵活
伶牙俐齿 能说会道
伶俐 机灵
琳琅满目 美不胜收
临阵脱逃 冲锋陷阵
临阵磨枪 临渴掘井
临时 暂时
邻近 临近
裂缝 裂痕
烈火真金 疾风知劲草
列举 罗列
料想 预想
了解 理解
了结 了却
缭绕 旋绕
缭乱 纷乱
撩拨 挑逗
嘹亮 响亮
谅解 体谅
亮堂堂 黑糊糊
亮堂 明亮
两厢情愿 一厢情愿
两全其美 一举两得
两面三刀 阳奉阴违
凉爽 凉快
良心 良知
良久 好久
恋情 爱情
恋恋不舍 依依不舍
脸色 神色
脸孔 面孔
联系 联络
联合 结合
怜悯 怜惜
连作 轮作
连续不断 时断时续
连续 延续
连忙 赶紧
连累 拖累
连接 衔接
连贯 连接
连亘 绵亘
隶属 从属
利诱 威逼
利用 应用
利落 拖拉
利弊 利害
立足之地 立锥之地
立体 平面
立即 立刻
立功赎罪 戴罪立功
立功 犯罪
厉害 凶猛
历历在目 记忆犹新
力求 力图
力量 力气
力不从心 力所能及
理智 明智
理直气壮 理屈词穷
理所当然 天经地义
理屈词穷 哑口无言
理解 了解
理会 理睬
理当 理应
里手 行家
黎明 拂晓
离职 离任
离心力 向心力
离奇 新奇
离开 分开
离队 归队
离别 分手
冷言冷语 冷嘲热讽
冷清 冷落
冷嘲热讽 冷言冷语
累赘 负担
类似 相似
雷同 相同
雷厉风行 闻风而动
勒索 讹诈
乐不可支 兴高采烈
老师 教师
老生常谈 陈词滥调
老气横秋 倚老卖老
老谋深算 足智多谋
老练 干练
老本 成本
牢骚 怨言
牢靠 可靠
牢固 结实
劳神 费神
劳碌 安逸
劳苦功高 劳而无功
浪费 糜费
朗诵 朗读
朗读 朗诵
狼子野心 野心勃勃
狼吞虎咽 饥不择食
滥竽充数 鱼目混珠
懒惰 懒散
谰言 流言
蓝本 底本
拦截 阻拦
拦挡 拦截
来由 因由
来往 交往
来日 往日
来路 去路
来临 降临
来到 离开
辣手 棘手
拉拢 笼络
垃圾 渣滓
廓清 澄清
扩散 分散
扩大 扩展
扩充 扩大
困倦 疲倦
困乏 疲乏
溃退 败退
窥测 窥伺
岿然不动 纹丝不动
亏本 赔本
旷野 原野
旷古绝伦 空前绝后
旷废 荒废
款式 样式
款待 招待
宽阔 开阔
宽广 广大
宽泛 广泛
宽大 严惩
宽敞 宽阔
脍炙人口 喜闻乐见
快慰 欣慰
快速 疾速
快人快语 拖泥带水
快马加鞭 马不停蹄
快乐 高兴
垮台 倒台
夸张 夸大
夸耀 炫耀
夸夸其谈 纸上谈兵
夸大其词 言过其实
夸大 夸张
酷热 炎热
酷寒 严寒
酷爱 热爱
苦心孤诣 惨淡经营
苦口婆心 语重心长
苦尽甘来 否极泰来
苦楚 痛苦
哭笑不得 啼笑皆非
扣留 拘留
口是心非 言不由衷
口若悬河 噤若寒蝉
口气 口吻
口蜜腹剑 笑里藏刀
口不应心 口是心非
口碑载道 怨声载道
控告 控诉
恐吓 恫吓
恐怖 恐惧
空中楼阁 海市蜃楼
空虚 充实
空想 幻想
空闲 闲暇
空头支票 一诺千金
空阔 空旷
空口无凭 铁证如山
空幻 虚幻
空谷传声 立竿见影
空洞无物 空空如也
空洞 空泛
坑骗 欺骗
恳求 央求
恳切 诚恳
垦荒 开荒
肯定 一定
恪守 遵守
客人 主人
客队 主队
刻舟求剑 守株待兔
刻画 描写
刻骨仇恨 恨之入骨
刻薄 苛刻
克制 抑制
克己奉公 奉公守法
克复 光复
克服 克制
克敌制胜 旗开得胜
渴望 盼望
可惜 惋惜
可望不可即 望尘莫及
可能 能够
可怜 不幸
可靠 牢靠
可爱 心爱
靠近 接近
考虑 思索
考据 考证
考究 讲究
考查 考察
抗拒 顺从
慷慨 大方
看管 看守
看待 对待
坎坷不平 康庄大道
勘误 订正
刊登 登载
楷模 榜样
开展 展开
开销 开支
开释 释放
开始 开端
开盘 收盘
开明 开通
开口 启齿
开掘 挖掘
开火 开战
开会 闭会
开荒 拓荒
开革 开除
开端 末尾
开导 劝导
开创 创始
开诚布公 推心置腹
开辟 开拓
开办 创办
竣工 完工
俊杰 豪杰
均匀 平均
均衡 平衡
倔强 顽强
觉醒 觉悟
觉悟 醒悟
觉察 察觉
绝路 死路
绝处逢生 逢凶化吉
抉择 选择
诀窍 窍门
决一雌雄 决一死战
决心 决计
决然 毅然
决裂 分裂
决定 决议
眷恋 留恋
卷土重来 东山再起
捐献 捐赠
捐躯 舍身
娟秀 清秀
聚拢 靠拢
聚精会神 专心致志
据理力争 力排众议
剧烈 猛烈
具体 详细
具备 具有
拒绝 回绝
巨匠 大师
巨大 宏大
举一反三 触类旁通
举世无双 独一无二
举世闻名 誉满天下
举棋不定 犹豫不定
举荐 推荐
举国若狂 纵情欢乐
举不胜举 不胜枚举
举报 告发
举办 举行
沮丧 懊丧
局势 形势
局面 场面
局促不安 忐忑不安
局部 部分
拘束 拘谨
拘谨 拘束
拘捕 逮捕
居住 寓居
居心叵测 别有用心
居心 存心
居高临下 高高在上
居安思危 高枕无忧
就义 牺牲
就任 就职
就地取材 因地制宜
救死扶伤 治病救人
救济 救援
旧居 故居
旧调重弹 因循守旧
酒肉朋友 狐朋狗友
酒囊饭袋 行尸走肉
久远 长远
九霄云外 无影无踪
究竟 终究
境地 地步
敬佩 敬仰
敬礼 还礼
敬爱 亲爱
竟然 居然
净重 毛重
警惕 警觉
警戒 戒备
警告 正告
景象 现象
景色 风光
